Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:2NNzvsOFpztTUUzk6rcnPH,No Grey,The Love Collection,The Neighbourhood,2013-12-10,206960,50,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Columbia,0.83,0.828,9,-5.562,0,0.0494,0.0509,0.00824,0.331,0.665,89.905,4
spotify:track:6NK6BSGwtmJ1HTOCYRWslQ,Lurk,#000000 & #FFFFFF (No DJ Version),The Neighbourhood,2014-11-28,214586,58,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Columbia,0.723,0.653,0,-6.319,1,0.0347,0.0921,0.25,0.0881,0.193,125.444,4
spotify:track:3ge4UtIlwtQfhCzVmyN0Le,W.D.Y.W.F.M?,I Love You.,The Neighbourhood,2013-04-19,259413,48,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Columbia,0.561,0.844,8,-2.911,0,0.0332,0.0358,0.00829,0.362,0.547,124.005,4
spotify:track:2VfunQovEfvwSO4kfXkhmS,Float,I Love You.,The Neighbourhood,2013-04-19,261200,35,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Columbia,0.534,0.882,8,-4.151,0,0.0744,0.0322,0.000114,0.16,0.45,123.897,4
spotify:track:4T5ndvmuR4lpEYTIQEMp7F,Female Robbery,I Love You.,The Neighbourhood,2013-04-19,209493,41,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Columbia,0.52,0.894,7,-3.14,0,0.0274,0.00775,0.375,0.256,0.381,88.109,4
spotify:track:4i7mcbkECX4kqRvfjbBGQz,not my job anymore,not my job anymore,Thomas Day,2022-07-15,188074,48,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Arista Records,0.534,0.441,11,-7.071,1,0.0362,0.525,0.0,0.258,0.113,140.137,4
spotify:track:1B241LRKmK6qDDTZfUajmm,Cocoon,The Balcony,Catfish and the Bottlemen,2014-09-15,236887,69,True,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"indie,indie rock",Universal-Island Records Ltd.,0.446,0.91,7,-4.481,0,0.0652,0.000254,9.76e-05,0.077,0.325,133.053,4
spotify:track:6uY9kK6gdGDCeT5sklQG7u,"Build God, Then We'll Talk",A Fever You Can't Sweat Out,Panic! At The Disco,2005-09-27,220720,59,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,emo,Fueled By Ramen/ADA,0.418,0.827,11,-4.133,0,0.0476,0.138,0.0,0.336,0.448,124.532,4
spotify:track:6cZSRZJfYKvNzUo8ZNUy81,But It's Better If You Do,A Fever You Can't Sweat Out,Panic! At The Disco,2005-09-27,205752,61,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,emo,Fueled By Ramen/ADA,0.467,0.848,9,-3.063,0,0.0716,0.0617,0.0,0.29,0.674,170.036,4
spotify:track:7zwn1eykZtZ5LODrf7c0tS,You Get Me So High,Hard To Imagine The Neighbourhood Ever Changing,The Neighbourhood,2018-11-02,153000,82,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Columbia,0.551,0.881,7,-6.099,0,0.0542,0.186,0.0791,0.152,0.387,88.036,4
spotify:track:57HwKH3pHLeelTkckr94qf,Horny Hippies,Beware of the Maniacs,The Dodos,2007-11-07,179070,0,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,The Dodos,0.449,0.541,11,-10.299,0,0.0417,0.0873,0.0,0.17,0.276,125.156,4
spotify:track:6wVWJl64yoTzU27EI8ep20,Crying Lightning,Humbug,Arctic Monkeys,2009-08-20,224826,72,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"indie,garage rock",Domino Recording Co,0.498,0.885,4,-4.423,0,0.0461,0.0148,0.00041,0.239,0.67,106.719,4
spotify:track:5mpLcXEsk3jjzLFGuNKk5I,Flashed Junk Mind,Sadnecessary,Milky Chance,2014-06-20,262000,1,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Neon,0.839,0.84,11,-8.721,1,0.0474,0.389,0.0319,0.114,0.904,117.98,4
spotify:track:7E9OnFFwTYDz6ZllgfbwOd,I'm Full,Nothing Happens,Wallows,2019-03-22,222026,49,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,indie,Atlantic Records,0.457,0.84,1,-7.075,0,0.0737,0.00537,0.00246,0.472,0.231,159.987,4
spotify:track:4telT9zZWgv4d8gD4WZrlA,Mistakes Like This,Why Does Everything Happen So Much EP,Prelow,2015-01-27,191954,51,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,2015,0.454,0.815,1,-5.077,1,0.0821,0.000221,0.000549,0.0706,0.337,161.905,4
spotify:track:0ZK8TGOsngrstVPsnrHbK1,Peach Pit,Sweet FA,Peach Pit,2018-06-27,287080,58,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Columbia,0.515,0.804,6,-5.345,0,0.0398,0.00322,0.00229,0.149,0.298,123.969,4
spotify:track:751srcHf5tUqcEa9pRCQwP,Tek It,Running,Cafuné,2021-07-20,191823,83,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Elektra (NEK),0.423,0.913,8,-5.354,1,0.0655,6.53e-05,0.0,0.269,0.596,146.995,4
spotify:track:3vZUC1m6QVm7urnN6lcF64,Ghosting,O My Heart,Mother Mother,2008-09-23,285986,0,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Last Gang,0.606,0.618,11,-5.1,1,0.0258,0.325,0.0019,0.108,0.237,92.061,4
spotify:track:0u5aO1GYsIhAWCPuXdwnak,Today - 2011 Remaster,Siamese Dream (Deluxe Edition),The Smashing Pumpkins,1993,201173,75,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,"alternative rock,rock",Virgin Records,0.456,0.826,8,-7.611,1,0.0268,3.35e-05,0.57,0.0548,0.415,82.539,4
spotify:track:3bnVBN67NBEzedqQuWrpP4,Tear in My Heart,Blurryface,Twenty One Pilots,2015-05-15,188493,77,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Fueled By Ramen,0.655,0.632,2,-4.802,1,0.0489,0.0189,0.0,0.0722,0.447,120.113,4
spotify:track:0zRezEuKtaAXHcB4eruwi2,I Don’t Think That I Like Her,I Don’t Think That I Like Her,Charlie Puth,2022-09-16,188507,0,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,soft pop,Atlantic Records,0.587,0.548,8,-5.846,0,0.0339,0.396,0.0,0.109,0.713,186.073,4
spotify:track:3707IBa4HnS3zDDoWfeUBl,I Warned Myself,I Warned Myself,Charlie Puth,2019-08-21,159782,51,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,soft pop,Artist Partner,0.488,0.311,10,-11.467,0,0.297,0.562,0.000548,0.161,0.579,184.112,4
spotify:track:5cF0dROlMOK5uNZtivgu50,Attention,Voicenotes,Charlie Puth,2018-05-11,208786,88,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,soft pop,Artist Partner,0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,4
spotify:track:3GHynHU3wYwarp1MaNeVel,Some Type of Love,Nine Track Mind,Charlie Puth,2015-11-05,187906,19,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,soft pop,Artist Partner,0.702,0.595,2,-6.005,1,0.0912,0.392,0.0,0.0753,0.366,90.497,4
spotify:track:6qNALlmZa1ESnCxJmXE1K9,The Way I Am,Voicenotes,Charlie Puth,2018-05-11,186080,65,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,soft pop,Artist Partner,0.755,0.769,10,-5.658,0,0.186,0.314,2.38e-06,0.0628,0.642,114.966,4
spotify:track:6wmAHw1szh5RCKSRjiXhPe,How Long,Voicenotes,Charlie Puth,2018-05-11,200853,79,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,soft pop,Artist Partner,0.845,0.561,1,-5.253,0,0.0778,0.211,3.49e-06,0.0383,0.811,109.974,4
spotify:track:6TapyDFlRUlZ4cmIaqJx4k,Slow It Down,Voicenotes,Charlie Puth,2018-05-11,190053,61,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,soft pop,Artist Partner,0.733,0.754,0,-3.392,0,0.0593,0.264,0.0,0.131,0.849,115.024,4
spotify:track:2Lhdl74nwwVGOE2Gv35QuK,Cupid's Chokehold / Breakfast in America,The Papercut Chronicles,Gym Class Heroes,2005-02-22,243773,82,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Decaydance/Fueled By Ramen/ATL,0.72,0.744,1,-6.938,0,0.12,0.237,0.0,0.255,0.619,78.953,4
spotify:track:5mVKOml3VuRIe4Y5pPyyYx,Japanese,Japanese / A Whole Month Of You,Worry Club,2020-08-05,192000,0,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Future Gods,0.653,0.524,0,-10.727,1,0.036,0.0278,0.151,0.104,0.619,130.045,4
spotify:track:3Kq7kKBwHPOvdmyZanK4AP,Move to San Francisco,Move to San Francisco,Circa Waves,2020-01-08,181492,28,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,indie,Prolifica Inc.,0.701,0.701,9,-5.215,1,0.0346,0.186,0.0,0.0967,0.702,136.005,4
spotify:track:1fAE0TQ3xblvOgnmM7yL1s,Head In The Clouds,"Don't give me problems, give me wine",BabyJake,2020-07-31,147893,56,False,31mb5e57eem4nrdh66w2jia2xdui,2026-03-02T19:38:02Z,,Republic Records,0.777,0.582,7,-6.435,1,0.0357,0.134,0.000752,0.336,0.925,138.98,4
